ID,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3
1318,5.42,12,-303758,['C1(C=CC=CC1)=O'],,,[None],,
1351,2.14,9,-119728,[None],,,['C1=CC=CC1'],[None],
1357,3.22,12,-119495,[None],,,[None],,
1358,1.88,12,-138783,[None],,,[None],,
1366,1.42,14,-272149,[None],,,[None],,
1367,3.34,13,-192164,[None],,,[None],,
1409,6.15,-34,7533,[None],,,[None],,
1410,3.45,-33,6818,[None],,,[None],,
1411,6.04,-34,7483,[None],,,[None],,
1412,3.47,-33,6735,[None],,,[None],,
1413,1.6,-33,6693,[None],,,[None],,
1414,4.47,-33,5014,[None],,,[None],,
1415,3.47,-33,2760,[None],,,[None],,
1416,4.3,-33,6269,[None],,,[None],,
1417,4.05,-33,1081,[None],,,[None],,
1418,6.89,-34,7525,[None],,,[None],,
1419,6.62,-33,4057,[None],,,[None],,
1420,5.51,-34,7525,[None],,,[None],,
1421,3.47,-33,6693,[None],,,[None],,
1422,5.51,-34,7525,[None],,,[None],,
1423,3.47,-33,6693,[None],,,[None],,
1424,9.15,-33,11640,[None],,,[None],,
1425,1.41,-33,11640,[None],,,[None],,
1457,4.68,14,-263569,['C[C@@H]1O[C@H]1C'],,,['C[C@@H]1O[C@@H]1C'],,
1464,2.57,13,-205367,[None],,,['C12CC=CCC(C=C1)CC2'],,
1465,1.05,14,-211188,[None],,,[None],,
1466,9.33,13,-214513,[None],,,[None],,
1467,8.91,14,-221996,[None],,,['C=CC=C'],['C1=CC=CCC1'],
1468,8.13,12,-206199,[None],,,['C12CC=CCC(C=C1)CC2'],,
1469,8.91,12,-186244,[None],,,[None],,
1470,8.91,13,-215345,[None],,,[None],,
1471,2.88,14,-215345,[None],,,['C=CC=C'],['C1=CC=CCC1'],
1493,2.57,13,-237960,['C=C1C=CC=CC1'],,,['CC1=CC=CC=C1'],,
1510,1.66,14,-127211,[None],,,['C1=CC=CC=CC=C1'],,
1511,1.02,14,-136357,[None],,,['C1=CC=CC=CC=C1'],,
1512,1.51,14,-135526,[None],,,['C1=CC=CC=CC=C1'],,
1513,2.29,13,-120560,[None],,,['C1=CC=CC=CC=C1'],,
1549,1.2,15,-241,['C(C)[C@H]1[C@H](C1)C'],,,['C(C)[C@H]1[C@@H](C1)C'],,
1564,9.1,11,-166289,['[N+](=O)([O-])C1=CC=C(C(=O)OC(C)(C)C)C=C1'],,,['[N+](=O)([O-])C1=CC=C(C(=O)O)C=C1'],['C=C(C)C'],
1569,5.68,12,-3766,[None],,,['C1=CC1'],,
1574,7.94,12,-12887,['CC(C)(C)NC(C1=CC=C(C=C1)OC)=O'],,,['C=C(C)C'],['COC1=CC=C(C(=O)N)C=C1'],
1577,3.56,11,-152716,[None],,,[None],,
1578,1.31,6,-60668,[None],,,[None],,
1579,4.13,10,-145603,[None],,,[None],,
1598,7.64,-9,-272839,[None],,,[None],[None],
1599,6.31,15,-226154,['C123CCCC1(CC2)C3'],,,['C=C1CC(CCC1)=C'],,
1629,3.16,16,-157144,['CC1C=C1'],,,['C#CCC'],,
1630,6.81,-1,2602,['CC=C1CC1'],,,['C(C)=C1CC1'],,
1631,7.83,13,-167952,['CC=C1CC1'],,,['C(C)=C1CC1'],,
1632,1.14,14,-170447,['C(C)=C1CC1'],,,['CC=C1CC1'],,
1645,2.51,13,-222828,['ClC[SiH](C1=CC=CC=C1)C'],,,['C1(=CC=CC=C1)[Si](Cl)(C)C'],,
1647,2.51,9,-169615,[None],,,[None],,
1648,1.0,16,-251929,[None],,,[None],['CC1=C(C=CC=C1)C'],
1653,2.41,13,-171278,[None],,,['C1(=CCCC1)C=1C=CC=CC1'],,
1698,2.88,12,-105594,['C/1=C\\CC\\C=C\\CC1'],,,[None],,
1706,3.98,10,-151323,['CC(C)(C)NC(OC1=CC=CC=C1)=O'],,,['C=C(C)C'],['C1(=CC=CC=C1)OC(N)=O'],
1742,1.71,12,-173772,['CC12CCC2(C1)C'],,,['CC1=CC(CC1)C'],,
1743,1.66,17,-240288,['CC12CCC2(C1)C'],,,['CC(=C)CC(=C)C'],,
1745,1.29,14,-206199,['C(=C)C1(CC1)C'],,,['CC1=CCCC1'],,
1751,1.32,12,-152155,['CC(C)(C)OC(=O)C=1OC=CC1'],,,['O1C(=CC=C1)C(=O)O'],['C=C(C)C'],
1763,2.71,-9,-223784,[None],,,[None],[None],
1764,1.92,14,-268483,[None],,,[None],[None],
1766,1.11,11,-1621,['CC=1C=C(C(=O)OC(C)(C)C)C=CC1'],,,['CC=1C=C(C(=O)O)C=CC1'],['C=C(C)C'],
1767,3.67,10,-153818,['ClC=1C=C(C(=O)OC(C)(C)C)C=CC1'],,,['C=C(C)C'],['ClC=1C=C(C(=O)O)C=CC1'],
1768,1.48,13,-164627,['CC(C)(C)OC(CC1=CC=CC=C1)=O'],,,['C1(=CC=CC=C1)CC(=O)O'],['C=C(C)C'],
1769,1.58,13,-164627,['CC(C)(C)OC(CC1=CC=CC=C1)=O'],,,['C1(=CC=CC=C1)CC(=O)O'],['C=C(C)C'],
1817,7.94,13,-154649,['CC1=CC(C1)(C)C'],,,['CC(=C)C=C(C)C'],,
1836,3.15,10,-97279,['C(=C)[C@H]1[C@H](CC1)C=C'],,,['C/1=C/CC\\C=C/CC1'],,
1860,6.31,12,-221996,['CC(C)(C)N1N=CC=C1'],,,['C=C(C)C'],['N1N=CC=C1'],
1921,1.12,13,-207862,['CC(C)(C)NC1=CC=C(C=C1)OC'],,,['COC1=CC=C(C=C1)N'],['C=C(C)C'],
1922,3.16,14,-210356,['CC(C)(OC1=CC=C(C=C1)OC)C'],,,['C=C(C)C'],['COC1=CC=C(C=C1)O'],
2045,1.5,12,-224300,['C1(=CC=CC=C1)CC(C)O'],,,[None],['C1C=CC2=CC=CC=C12'],
2091,3.25,12,-15899,['C12=CC=CCC1C2'],,,['C1=CC=CC=CC1'],,
2092,1.82,14,-200832,['C12=CC=CCC1C2'],,,['CC1=CC=CC=C1'],,
2179,9.48,14,-256917,['CC1=CC=C(C=C1)CCC1=CC=CC=C1'],,,[None],[None],
2221,1.11,-1,-410070,[None],,,[None],[None],
2327,1.82,11,-89796,['CC1=CC=C(C(=O)OC(C)(C)C)C=C1'],,,['CC1=CC=C(C(=O)O)C=C1'],['C=C(C)C'],
